term_std_basis,coefficient_std_basis
Collagen_mg_mL,0.20457822086772987
UV_min,0.35038447092310754
Collagen_mg_mL^2,0.06319445281315472
Collagen_mg_mL UV_min,0.033196692991915674
UV_min^2,-0.21708952470106507
Collagen_mg_mL^3,0.1271811388844206
Collagen_mg_mL^2 UV_min,0.13296850985633696
Collagen_mg_mL UV_min^2,0.06968045050952003
UV_min^3,0.41374259462545543
Collagen_mg_mL^4,0.01878828380723809
Collagen_mg_mL^3 UV_min,0.06106934083471
Collagen_mg_mL^2 UV_min^2,-0.04752118159174201
Collagen_mg_mL UV_min^3,0.09365195769177576
UV_min^4,-0.19944862620411222
Intercept,0.2721292498799812
