term_std_basis,coefficient_std_basis
Collagen_mg_mL,0.5082237643621207
UV_min,0.2873718419277831
Collagen_mg_mL^2,-0.4858167469996346
Collagen_mg_mL UV_min,0.1270417798571443
UV_min^2,-0.32065385251515666
Collagen_mg_mL^3,-0.21857819731966963
Collagen_mg_mL^2 UV_min,-0.041833956271950905
Collagen_mg_mL UV_min^2,0.1968387700232927
UV_min^3,0.13722406445309948
Collagen_mg_mL^4,0.08559626303229086
Collagen_mg_mL^3 UV_min,0.01958302046868383
Collagen_mg_mL^2 UV_min^2,0.048434157995279226
Collagen_mg_mL UV_min^3,0.03731572314717419
UV_min^4,0.06067070408277223
Intercept,0.30355665224664713
