Collagen_mg_mL,UV_min,Shear_kPa
2.5,30,1.0666666666666667
3.5,15,0.7000000000000001
3.5,30,1.6500000000000001
3.5,45,1.9000000000000001
3.5,60,1.9333333333333333
10.0,0,0.5333333333333333
10.0,30,3.9
12.5,0,1.6333333333333335
12.5,30,5.366666666666667
15.0,0,2.2666666666666666
15.0,15,5.666666666666667
15.0,30,6.433333333333334
15.0,60,8.1
15.0,90,8.233333333333333
50.0,0,0.8666666666666667
50.0,30,1.9333333333333333
25.0,0,0.4666666666666666
25.0,30,2.3000000000000003
25.0,0,0.3
25.0,30,0.5333333333333333
2.7,1,0.05
2.7,3,0.04
2.7,5,0.045
2.7,1,0.075
2.7,3,0.095
2.7,5,0.11
5.0,0,0.0005
5.0,20,0.0035
5.0,40,0.007
5.0,60,0.055
5.0,120,0.08
5.0,40,11.666666666666666
5.0,120,24.0
5.0,40,0.3333333333333333
5.0,120,3.3333333333333335
5.0,40,3.0
5.0,120,8.0
5.0,40,5.666666666666667
5.0,120,12.0
3.0,5,0.3
5.0,5,0.32
3.0,0,0.8266666666666667
