term_std_basis,coefficient_std_basis
Collagen_mg_mL,0.37254546207172323
UV_min,0.1667843646983807
Collagen_mg_mL^2,0.05917847054524185
Collagen_mg_mL UV_min,0.0016998861760607665
UV_min^2,-0.1026788309311802
Collagen_mg_mL^3,0.30910105085392364
Collagen_mg_mL^2 UV_min,0.10103340928476354
Collagen_mg_mL UV_min^2,0.09619114878099391
UV_min^3,0.2944116252530601
Collagen_mg_mL^4,0.012964537933702024
Collagen_mg_mL^3 UV_min,0.02722416690480582
Collagen_mg_mL^2 UV_min^2,-0.014501083654260118
Collagen_mg_mL UV_min^3,0.07224814080874926
UV_min^4,-0.15310520104960618
Intercept,0.2638143063077863
